ID Reference	URI
43241	ftp://ftp.bsrn.awi.de/ber/ber0692.dat.gz
43242	ftp://ftp.bsrn.awi.de/ber/ber0792.dat.gz
43243	ftp://ftp.bsrn.awi.de/ber/ber0892.dat.gz
43244	ftp://ftp.bsrn.awi.de/ber/ber0992.dat.gz
43245	ftp://ftp.bsrn.awi.de/ber/ber1092.dat.gz
43246	ftp://ftp.bsrn.awi.de/ber/ber1192.dat.gz
43247	ftp://ftp.bsrn.awi.de/ber/ber1292.dat.gz
43248	ftp://ftp.bsrn.awi.de/ber/ber0193.dat.gz
43249	ftp://ftp.bsrn.awi.de/ber/ber0293.dat.gz
43250	ftp://ftp.bsrn.awi.de/ber/ber0493.dat.gz
43251	ftp://ftp.bsrn.awi.de/ber/ber0593.dat.gz
43252	ftp://ftp.bsrn.awi.de/ber/ber0693.dat.gz
43253	ftp://ftp.bsrn.awi.de/ber/ber0793.dat.gz
43254	ftp://ftp.bsrn.awi.de/ber/ber0893.dat.gz
43255	ftp://ftp.bsrn.awi.de/ber/ber0993.dat.gz
43256	ftp://ftp.bsrn.awi.de/ber/ber1093.dat.gz
43257	ftp://ftp.bsrn.awi.de/ber/ber1193.dat.gz
43258	ftp://ftp.bsrn.awi.de/ber/ber1293.dat.gz
43259	ftp://ftp.bsrn.awi.de/ber/ber0194.dat.gz
43260	ftp://ftp.bsrn.awi.de/ber/ber0294.dat.gz
43261	ftp://ftp.bsrn.awi.de/ber/ber0494.dat.gz
43262	ftp://ftp.bsrn.awi.de/ber/ber0594.dat.gz
43263	ftp://ftp.bsrn.awi.de/ber/ber0694.dat.gz
43264	ftp://ftp.bsrn.awi.de/ber/ber0794.dat.gz
43265	ftp://ftp.bsrn.awi.de/ber/ber0894.dat.gz
43266	ftp://ftp.bsrn.awi.de/ber/ber0994.dat.gz
43267	ftp://ftp.bsrn.awi.de/ber/ber1094.dat.gz
43268	ftp://ftp.bsrn.awi.de/ber/ber1194.dat.gz
43269	ftp://ftp.bsrn.awi.de/ber/ber1294.dat.gz
43270	ftp://ftp.bsrn.awi.de/ber/ber0195.dat.gz
43271	ftp://ftp.bsrn.awi.de/ber/ber0295.dat.gz
43272	ftp://ftp.bsrn.awi.de/ber/ber0495.dat.gz
43273	ftp://ftp.bsrn.awi.de/ber/ber0595.dat.gz
43274	ftp://ftp.bsrn.awi.de/ber/ber0695.dat.gz
43275	ftp://ftp.bsrn.awi.de/ber/ber0795.dat.gz
43276	ftp://ftp.bsrn.awi.de/ber/ber0895.dat.gz
43277	ftp://ftp.bsrn.awi.de/ber/ber0995.dat.gz
43278	ftp://ftp.bsrn.awi.de/ber/ber1095.dat.gz
43279	ftp://ftp.bsrn.awi.de/ber/ber1195.dat.gz
43280	ftp://ftp.bsrn.awi.de/ber/ber1295.dat.gz
43281	ftp://ftp.bsrn.awi.de/ber/ber0196.dat.gz
43282	ftp://ftp.bsrn.awi.de/ber/ber0296.dat.gz
43283	ftp://ftp.bsrn.awi.de/ber/ber0496.dat.gz
43284	ftp://ftp.bsrn.awi.de/ber/ber0596.dat.gz
43285	ftp://ftp.bsrn.awi.de/ber/ber0696.dat.gz
43286	ftp://ftp.bsrn.awi.de/ber/ber0796.dat.gz
43287	ftp://ftp.bsrn.awi.de/ber/ber0896.dat.gz
43288	ftp://ftp.bsrn.awi.de/ber/ber0996.dat.gz
43289	ftp://ftp.bsrn.awi.de/ber/ber1096.dat.gz
43290	ftp://ftp.bsrn.awi.de/ber/ber1196.dat.gz
43291	ftp://ftp.bsrn.awi.de/ber/ber1296.dat.gz
43292	ftp://ftp.bsrn.awi.de/ber/ber0197.dat.gz
43293	ftp://ftp.bsrn.awi.de/ber/ber0297.dat.gz
43294	ftp://ftp.bsrn.awi.de/ber/ber0497.dat.gz
43295	ftp://ftp.bsrn.awi.de/ber/ber0597.dat.gz
43296	ftp://ftp.bsrn.awi.de/ber/ber0697.dat.gz
43297	ftp://ftp.bsrn.awi.de/ber/ber0797.dat.gz
43298	ftp://ftp.bsrn.awi.de/ber/ber0897.dat.gz
43299	ftp://ftp.bsrn.awi.de/ber/ber0997.dat.gz
43300	ftp://ftp.bsrn.awi.de/ber/ber1097.dat.gz
43301	ftp://ftp.bsrn.awi.de/ber/ber1197.dat.gz
43302	ftp://ftp.bsrn.awi.de/ber/ber1297.dat.gz
43303	ftp://ftp.bsrn.awi.de/ber/ber0198.dat.gz
43304	ftp://ftp.bsrn.awi.de/ber/ber0298.dat.gz
43305	ftp://ftp.bsrn.awi.de/ber/ber0498.dat.gz
43306	ftp://ftp.bsrn.awi.de/ber/ber0598.dat.gz
43307	ftp://ftp.bsrn.awi.de/ber/ber0698.dat.gz
43308	ftp://ftp.bsrn.awi.de/ber/ber0798.dat.gz
43309	ftp://ftp.bsrn.awi.de/ber/ber0898.dat.gz
43310	ftp://ftp.bsrn.awi.de/ber/ber0998.dat.gz
43311	ftp://ftp.bsrn.awi.de/ber/ber1098.dat.gz
43312	ftp://ftp.bsrn.awi.de/ber/ber1198.dat.gz
43313	ftp://ftp.bsrn.awi.de/ber/ber1298.dat.gz
43314	ftp://ftp.bsrn.awi.de/ber/ber0199.dat.gz
43315	ftp://ftp.bsrn.awi.de/ber/ber0299.dat.gz
43316	ftp://ftp.bsrn.awi.de/ber/ber0499.dat.gz
43317	ftp://ftp.bsrn.awi.de/ber/ber0599.dat.gz
43318	ftp://ftp.bsrn.awi.de/ber/ber0699.dat.gz
43319	ftp://ftp.bsrn.awi.de/ber/ber0799.dat.gz
43320	ftp://ftp.bsrn.awi.de/ber/ber0899.dat.gz
43321	ftp://ftp.bsrn.awi.de/ber/ber0999.dat.gz
43322	ftp://ftp.bsrn.awi.de/ber/ber1099.dat.gz
43323	ftp://ftp.bsrn.awi.de/ber/ber1199.dat.gz
43324	ftp://ftp.bsrn.awi.de/ber/ber1299.dat.gz
43325	ftp://ftp.bsrn.awi.de/ber/ber0100.dat.gz
43326	ftp://ftp.bsrn.awi.de/ber/ber0200.dat.gz
43327	ftp://ftp.bsrn.awi.de/ber/ber0400.dat.gz
43328	ftp://ftp.bsrn.awi.de/ber/ber0500.dat.gz
43329	ftp://ftp.bsrn.awi.de/ber/ber0600.dat.gz
43330	ftp://ftp.bsrn.awi.de/ber/ber0700.dat.gz
43331	ftp://ftp.bsrn.awi.de/ber/ber0800.dat.gz
43332	ftp://ftp.bsrn.awi.de/ber/ber0900.dat.gz
43333	ftp://ftp.bsrn.awi.de/ber/ber1000.dat.gz
43334	ftp://ftp.bsrn.awi.de/ber/ber1100.dat.gz
43335	ftp://ftp.bsrn.awi.de/ber/ber1200.dat.gz
43336	ftp://ftp.bsrn.awi.de/ber/ber0101.dat.gz
43337	ftp://ftp.bsrn.awi.de/ber/ber0201.dat.gz
43338	ftp://ftp.bsrn.awi.de/ber/ber0401.dat.gz
43339	ftp://ftp.bsrn.awi.de/ber/ber0501.dat.gz
43340	ftp://ftp.bsrn.awi.de/ber/ber0601.dat.gz
43341	ftp://ftp.bsrn.awi.de/ber/ber0701.dat.gz
43342	ftp://ftp.bsrn.awi.de/ber/ber0801.dat.gz
43343	ftp://ftp.bsrn.awi.de/ber/ber0901.dat.gz
43344	ftp://ftp.bsrn.awi.de/ber/ber1001.dat.gz
43345	ftp://ftp.bsrn.awi.de/ber/ber1101.dat.gz
43346	ftp://ftp.bsrn.awi.de/ber/ber1201.dat.gz
43347	ftp://ftp.bsrn.awi.de/ber/ber0102.dat.gz
43348	ftp://ftp.bsrn.awi.de/ber/ber0202.dat.gz
43349	ftp://ftp.bsrn.awi.de/ber/ber0402.dat.gz
43350	ftp://ftp.bsrn.awi.de/ber/ber0502.dat.gz
43351	ftp://ftp.bsrn.awi.de/ber/ber0602.dat.gz
43352	ftp://ftp.bsrn.awi.de/ber/ber0702.dat.gz
43353	ftp://ftp.bsrn.awi.de/ber/ber0802.dat.gz
43354	ftp://ftp.bsrn.awi.de/ber/ber0902.dat.gz
43355	ftp://ftp.bsrn.awi.de/ber/ber1002.dat.gz
43356	ftp://ftp.bsrn.awi.de/ber/ber1102.dat.gz
43357	ftp://ftp.bsrn.awi.de/ber/ber1202.dat.gz
43358	ftp://ftp.bsrn.awi.de/ber/ber0103.dat.gz
43359	ftp://ftp.bsrn.awi.de/ber/ber0203.dat.gz
43360	ftp://ftp.bsrn.awi.de/ber/ber0403.dat.gz
